模型,R²,RMSE,MAE
Lasso回归,0.10766399873267196,0.625159752767513,0.4885204978682194
随机森林,0.22160848927473242,0.5838830240826499,0.45431982655907804
XGBoost,0.27185549746978854,0.5647231492066367,0.4390085649612345
